Store,Product,Dollars
5609,Product38_787150892300,3740.57
8669,Product36_501698203349,5198.54
8103,Product22_456694518796,4568
1795,Product27_808662828215,1432.8
0575,Product41_961919712214,8096.97
9570,Product30_282065256654,2741.14
8649,Product14_960811442186,5879.85
2886,Product31_022705476919,2245.49
3883,Product20_114232074142,6337.21
5712,Product4_054973295521,9967.02
3595,Product44_263947759193,4600.05
4957,Product4_054973295521,9816.31
7750,Product1_672843293577,7837.5
0372,Product32_610207186318,3565.33
4488,Product6_826830262783,2557.01
9430,Product7_619980263269,3747.97
4661,Product31_022705476919,1798.06
6636,Product21_602317401174,2854.71
0499,Product36_501698203349,9261.69
5005,Product7_619980263269,3410.85
9547,Product19_625705419767,7755.15
3293,Product27_808662828215,4392.92
7653,Product21_602317401174,2152.29
8726,Product13_504536845436,4645.56
1621,Product47_994079427399,4481.92
6037,Product16_067024275192,117.18
1094,Product12_309156910760,6103.13
5477,Product10_152017009337,3057.2
6756,Product14_960811442186,9378.39
6163,Product49_625088676444,1433.34
8246,Product21_602317401174,8944.63
6637,Product39_577115612575,9104.21
4869,Product40_555260290319,3161.81
8690,Product27_808662828215,8087.63
7745,Product31_022705476919,6459.61
2496,Product34_681650395706,1297.46
0403,Product41_961919712214,5510.31
2769,Product19_625705419767,983.93
8356,Product4_054973295521,9383.79
9910,Product14_960811442186,7809.54
2674,Product36_501698203349,8809.79
5538,Product31_022705476919,3164.09
3020,Product1_672843293577,4402.91
6434,Product9_401673678906,9866.68
7714,Product18_583877270485,1851.87
8031,Product39_577115612575,775.4
2836,Product47_994079427399,7949.32
3149,Product48_947877706050,5700.9
0534,Product9_401673678906,8197.75
1061,Product10_152017009337,9357.28
2467,Product38_787150892300,9311.45
3386,Product33_982721679227,700.17
0977,Product22_456694518796,3185.07
7145,Product43_170569128577,4174.47
2310,Product7_619980263269,4633.51
5344,Product31_022705476919,7302.38
3217,Product45_278182441624,9469.71
3451,Product48_947877706050,8415.88
3005,Product10_152017009337,1581.99
5577,Product24_026275464157,2209.5
3713,Product50_970966092558,707.79
3017,Product22_456694518796,4901.78
0176,Product34_681650395706,7787.36
5156,Product22_456694518796,8725.97
0827,Product33_982721679227,7469.79
7419,Product43_170569128577,3473.76
5988,Product3_576730797113,2191.58
7891,Product33_982721679227,516.96
4073,Product17_701139667440,6741.03
1098,Product38_787150892300,38.43
0222,Product36_501698203349,1388.18
5158,Product2_426762991953,8408.63
3427,Product26_969383468339,3802.1
2991,Product4_054973295521,5053.15
1035,Product26_969383468339,561.84
6088,Product44_263947759193,9041.43
2026,Product25_712876788696,3591.23
5895,Product15_204925440499,1595.38
7969,Product25_712876788696,9429.37
2410,Product13_504536845436,7237.04
7188,Product5_962240023270,4375.65
9177,Product6_826830262783,4935.55
4680,Product34_681650395706,3643.4
0614,Product48_947877706050,3284.43
9701,Product7_619980263269,9345.57
6490,Product17_701139667440,2416.77
5749,Product42_439435119589,3773.57
3848,Product16_067024275192,9047.75
6673,Product5_962240023270,3926.71
2240,Product47_994079427399,3727.59
9874,Product5_962240023270,9625.3
1215,Product4_054973295521,6613.91
8264,Product26_969383468339,9058.34
2727,Product41_961919712214,6632.72
8916,Product49_625088676444,4071.7
3177,Product46_471710588576,5840.72
2905,Product20_114232074142,9292.07
8317,Product17_701139667440,3983.94
1614,Product8_483642823314,2726.67
4154,Product23_399308656375,549.39
9524,Product5_962240023270,9149.39
1479,Product16_067024275192,3612.6
1608,Product2_426762991953,7793.05
2720,Product2_426762991953,6800.9
6662,Product6_826830262783,9726.37
8793,Product35_271300728073,9634.23
7256,Product31_022705476919,2643.62
9754,Product19_625705419767,123.65
9716,Product28_432483932364,2553.82
3858,Product26_969383468339,9608.86
2802,Product13_504536845436,3158.41
1892,Product3_576730797113,3722.38
5182,Product28_432483932364,8051.89
7213,Product49_625088676444,2337.7
0395,Product31_022705476919,1228.42
8971,Product49_625088676444,714.5
0741,Product34_681650395706,2667.45
2141,Product17_701139667440,2298.63
7609,Product34_681650395706,4272.97
9913,Product44_263947759193,803.25
2605,Product15_204925440499,9190.39
6158,Product34_681650395706,1469.41
1565,Product23_399308656375,2262.15
1285,Product7_619980263269,8232.01
7704,Product33_982721679227,2616.66
0865,Product21_602317401174,2707.97
7868,Product42_439435119589,6734.53
1275,Product7_619980263269,811.16
4735,Product2_426762991953,6615.4
3144,Product24_026275464157,169.87
2961,Product22_456694518796,668.06
9327,Product2_426762991953,822.6
2489,Product14_960811442186,9903.49
8870,Product7_619980263269,3460.55
4341,Product20_114232074142,5261.89
4481,Product42_439435119589,4879.37
1084,Product50_970966092558,2814.1
1673,Product46_471710588576,1055.41
3807,Product32_610207186318,3575.63
6320,Product37_280168771200,7707.88
0270,Product10_152017009337,294.83
7775,Product49_625088676444,9395.58
1926,Product23_399308656375,6128.69
3207,Product34_681650395706,4869.92
5047,Product4_054973295521,906.79
7959,Product1_672843293577,5282.99
6201,Product20_114232074142,3168.69
5933,Product25_712876788696,1162.91
5310,Product13_504536845436,3380.59
7075,Product31_022705476919,7582.61
2339,Product33_982721679227,7703.57
7954,Product16_067024275192,4720.66
0857,Product12_309156910760,5768.96
4037,Product44_263947759193,8662.09
6914,Product35_271300728073,1318.35
7150,Product9_401673678906,4428.7
2144,Product14_960811442186,3392.58
7324,Product3_576730797113,4031.22
2003,Product6_826830262783,8740.62
0949,Product43_170569128577,6649.52
5260,Product4_054973295521,9334.74
4429,Product23_399308656375,5957.95
8786,Product33_982721679227,7319.92
8357,Product27_808662828215,6950.93
3847,Product33_982721679227,5960.65
2358,Product15_204925440499,6164.08
9018,Product41_961919712214,9437.43
4371,Product15_204925440499,881.63
0628,Product25_712876788696,3814.73
6262,Product5_962240023270,9591.01
2474,Product32_610207186318,6510.8
3757,Product14_960811442186,2351.29
1582,Product33_982721679227,5294.65
9799,Product17_701139667440,8089.68
0117,Product29_720630802981,2815.4
5018,Product3_576730797113,3851.54
4371,Product2_426762991953,2001.45
4503,Product50_970966092558,5777.78
9710,Product35_271300728073,4647.14
5914,Product31_022705476919,9740.17
1633,Product49_625088676444,4194.54
7784,Product4_054973295521,3501.3
7512,Product39_577115612575,9271.71
6435,Product40_555260290319,358.35
8066,Product27_808662828215,1904.3
6563,Product44_263947759193,8853.56
3452,Product37_280168771200,6563.02
3193,Product48_947877706050,2383.81
4213,Product3_576730797113,3801.53
0541,Product8_483642823314,6578.85
6925,Product15_204925440499,430.6
0595,Product1_672843293577,3983.26
3105,Product16_067024275192,7807.14
3377,Product8_483642823314,2978.3
7011,Product10_152017009337,797.28
1221,Product41_961919712214,3186.38
6621,Product13_504536845436,430.44
1269,Product23_399308656375,371.26
4764,Product19_625705419767,8483.55
3093,Product22_456694518796,193.72
6778,Product13_504536845436,9799.89
0971,Product38_787150892300,5970.39
4988,Product25_712876788696,9430.79
7389,Product20_114232074142,7962.22
9029,Product39_577115612575,8816.3
7440,Product14_960811442186,4175.52
4267,Product49_625088676444,809.36
9782,Product31_022705476919,2103.22
3649,Product25_712876788696,7601.37
1703,Product8_483642823314,8327.18
6207,Product20_114232074142,2350.6
3785,Product34_681650395706,9211.19
7397,Product7_619980263269,9456.64
3690,Product6_826830262783,3397.44
8303,Product1_672843293577,5427.32
0792,Product34_681650395706,6886.99
2344,Product26_969383468339,7909.09
5386,Product33_982721679227,3205.41
7416,Product6_826830262783,3946.51
2106,Product6_826830262783,1017.97
4702,Product35_271300728073,4818.67
0808,Product26_969383468339,7118.92
7490,Product22_456694518796,1359.47
5642,Product31_022705476919,245.75
4182,Product36_501698203349,9966.4
3310,Product28_432483932364,6280.68
5415,Product5_962240023270,4068.25
0669,Product42_439435119589,8007.4
4385,Product8_483642823314,9779.3
7270,Product44_263947759193,8641.27
4976,Product33_982721679227,2469.9
7226,Product18_583877270485,1018.13
5993,Product40_555260290319,3891.19
0654,Product47_994079427399,2368.97
5640,Product22_456694518796,8926.83
9703,Product37_280168771200,6841.29
9817,Product45_278182441624,8225.59
2299,Product33_982721679227,2817.66
8011,Product23_399308656375,9868.98
0576,Product16_067024275192,3422.75
7456,Product15_204925440499,4604.92
1492,Product49_625088676444,7535.32
5034,Product13_504536845436,6954.99
8353,Product17_701139667440,7820.28
4372,Product35_271300728073,9462.78
3295,Product10_152017009337,2656.95
3728,Product50_970966092558,9132.88
6992,Product13_504536845436,550.53
0316,Product44_263947759193,5408.99
4326,Product3_576730797113,9291.37
9043,Product19_625705419767,5142.94
3509,Product18_583877270485,8077.86
8444,Product50_970966092558,1279.02
7577,Product6_826830262783,9449.39
3591,Product11_740390785655,8651.19
4977,Product26_969383468339,5499.37
4469,Product15_204925440499,7062.81
5705,Product42_439435119589,6913.02
0012,Product3_576730797113,5752.63
5759,Product11_740390785655,6926.13
0260,Product43_170569128577,2674.34
4006,Product32_610207186318,8672.75
4343,Product8_483642823314,5587.81
9271,Product10_152017009337,4917.96
6327,Product34_681650395706,4055.68
9844,Product41_961919712214,8909.57
3822,Product17_701139667440,1852.04
3230,Product3_576730797113,1708.41
6519,Product42_439435119589,9690.71
1405,Product47_994079427399,6357.35
8699,Product9_401673678906,193.52
4877,Product30_282065256654,2149.29
6584,Product46_471710588576,9412.85
4696,Product11_740390785655,5964.63
7855,Product23_399308656375,3339.84
8569,Product23_399308656375,693.27
8908,Product16_067024275192,7979.05
2980,Product24_026275464157,7849.83
0599,Product21_602317401174,3867.39
6478,Product33_982721679227,1233.33
0055,Product30_282065256654,7120.24
3894,Product28_432483932364,7885.05
8713,Product40_555260290319,9725.24
8537,Product42_439435119589,7165.75
2111,Product30_282065256654,374.22
4008,Product33_982721679227,4817.55
7716,Product16_067024275192,6461.61
4124,Product37_280168771200,1961.92
1510,Product26_969383468339,5746.3
8663,Product18_583877270485,942.04
5940,Product44_263947759193,5894.13
2823,Product18_583877270485,8721.89
8020,Product40_555260290319,3961.77
6774,Product25_712876788696,4048.27
1909,Product47_994079427399,4407.25
3389,Product46_471710588576,7474.16
5680,Product48_947877706050,3715.11
2087,Product48_947877706050,174.17
0125,Product4_054973295521,6915.06
3538,Product11_740390785655,7589.11
1975,Product46_471710588576,6022.75
0396,Product19_625705419767,3464.22
0101,Product47_994079427399,8870.63
2338,Product31_022705476919,1594.76
6264,Product41_961919712214,4083.44
2407,Product47_994079427399,7208.64
1248,Product3_576730797113,4490.4
0571,Product6_826830262783,6832.46
2033,Product39_577115612575,2643.93
0914,Product25_712876788696,4206.71
6852,Product18_583877270485,3739.88
9292,Product30_282065256654,3686.62
7495,Product32_610207186318,2023.63
0232,Product29_720630802981,1142.87
2946,Product48_947877706050,398.34
9040,Product4_054973295521,148.71
6745,Product17_701139667440,9206.16
4843,Product33_982721679227,5016.27
8694,Product38_787150892300,4831.35
7596,Product14_960811442186,3482.44
4976,Product47_994079427399,4354.87
8155,Product1_672843293577,2560.12
4540,Product45_278182441624,407.7
8844,Product48_947877706050,4537.16
0364,Product49_625088676444,591.04
5156,Product3_576730797113,7064.18
8243,Product48_947877706050,5625.75
3611,Product17_701139667440,2056.24
2321,Product4_054973295521,8876.55
4703,Product15_204925440499,8480.93
6404,Product16_067024275192,4512.98
2490,Product2_426762991953,8590.78
6506,Product21_602317401174,580.38
7427,Product10_152017009337,5402.15
1190,Product42_439435119589,6029.47
7681,Product18_583877270485,1389.24
4311,Product43_170569128577,5448.53
3216,Product14_960811442186,6279.66
8642,Product15_204925440499,5282.72
1046,Product38_787150892300,1439.75
3952,Product13_504536845436,8641.45
5295,Product19_625705419767,3233.72
6518,Product19_625705419767,5028.61
3813,Product19_625705419767,7310.19
9994,Product10_152017009337,3612.08
8364,Product33_982721679227,6729.74
0245,Product4_054973295521,8496.68
3712,Product31_022705476919,3214.98
0460,Product7_619980263269,2770.34
7361,Product49_625088676444,9166.86
1473,Product35_271300728073,9703.09
0366,Product45_278182441624,6275.42
4379,Product11_740390785655,2696.6
3478,Product40_555260290319,6678.32
1881,Product35_271300728073,5698.76
1595,Product18_583877270485,3004.08
6639,Product36_501698203349,1227.03
4425,Product16_067024275192,3509.52
7354,Product29_720630802981,4147.27
9341,Product3_576730797113,1291.83
2794,Product17_701139667440,5395.33
4859,Product2_426762991953,6702.49
4348,Product43_170569128577,4006.05
3144,Product21_602317401174,5887.62
2055,Product15_204925440499,1345.64
1275,Product31_022705476919,4535.56
8597,Product50_970966092558,5962.38
3267,Product11_740390785655,6202.83
0181,Product34_681650395706,9151.59
1116,Product43_170569128577,6924.4
7022,Product15_204925440499,9902.53
2371,Product37_280168771200,4578.05
2736,Product27_808662828215,652.72
7226,Product46_471710588576,2700.26
6128,Product2_426762991953,8756.35
5053,Product10_152017009337,3394.52
6213,Product42_439435119589,9941.06
0760,Product10_152017009337,9636.24
5087,Product11_740390785655,725.08
6843,Product6_826830262783,3115.81
4426,Product44_263947759193,9857.56
1528,Product8_483642823314,9615.48
2522,Product29_720630802981,7646.85
1959,Product20_114232074142,2900.56
7233,Product47_994079427399,1295.93
9782,Product50_970966092558,6554.72
4503,Product22_456694518796,7265.38
8712,Product12_309156910760,3144.6
0382,Product36_501698203349,7596.84
4182,Product19_625705419767,3951.62
1444,Product32_610207186318,8882.28
5332,Product38_787150892300,7900.28
8805,Product38_787150892300,7086.62
7132,Product49_625088676444,9603.86
8505,Product32_610207186318,1406.91
7986,Product42_439435119589,6089.3
6468,Product36_501698203349,1853.99
3313,Product1_672843293577,1032.62
0639,Product42_439435119589,8700.2
2833,Product7_619980263269,3076.61
0649,Product25_712876788696,2191.78
1351,Product50_970966092558,9832.44
9020,Product31_022705476919,3709.56
5362,Product3_576730797113,4373.76
8984,Product2_426762991953,3825.22
3818,Product25_712876788696,2938.33
3253,Product37_280168771200,6321.46
8805,Product10_152017009337,1628.4
4755,Product34_681650395706,6827.53
8219,Product20_114232074142,8338.74
3406,Product20_114232074142,2899.37
7884,Product20_114232074142,3658
5349,Product2_426762991953,1205.77
1700,Product30_282065256654,6807.07
7278,Product24_026275464157,7455.02
1867,Product47_994079427399,3199.46
1847,Product33_982721679227,4468.82
2918,Product18_583877270485,110.39
0374,Product9_401673678906,6722.83
7024,Product14_960811442186,9530.3
5929,Product27_808662828215,9304.14
4470,Product13_504536845436,7135.09
0632,Product10_152017009337,2755.66
2601,Product46_471710588576,575.32
7301,Product12_309156910760,9472.68
7535,Product50_970966092558,8095.02
0611,Product1_672843293577,2698.59
9807,Product16_067024275192,3626.85
1333,Product2_426762991953,509.97
7158,Product5_962240023270,1179.93
2316,Product37_280168771200,2268.43
7426,Product48_947877706050,959.29
3763,Product35_271300728073,9.1
4769,Product9_401673678906,8866.96
5206,Product33_982721679227,514.11
1575,Product1_672843293577,8512.41
7304,Product5_962240023270,1028.38
4741,Product38_787150892300,6962.86
8308,Product16_067024275192,3399.33
3385,Product9_401673678906,992.32
1394,Product6_826830262783,5440.45
2315,Product34_681650395706,8330.41
4350,Product4_054973295521,5635.27
5541,Product29_720630802981,337.92
2375,Product18_583877270485,2005.64
9325,Product31_022705476919,4049.95
0147,Product33_982721679227,8550.63
0685,Product41_961919712214,1687.63
5866,Product26_969383468339,6466.67
3831,Product32_610207186318,9131.98
9971,Product16_067024275192,6951.74
3628,Product16_067024275192,9425.4
9143,Product34_681650395706,2726.43
8315,Product34_681650395706,2052.91
1808,Product2_426762991953,4830.66
4583,Product11_740390785655,4178.43
5837,Product33_982721679227,364.51
0675,Product26_969383468339,7472.7
6058,Product43_170569128577,8836.77
6576,Product34_681650395706,4840.77
6821,Product31_022705476919,8786.54
2807,Product9_401673678906,2674.73
4765,Product27_808662828215,4379.33
0176,Product31_022705476919,6087.5
8141,Product19_625705419767,5090.75
5087,Product36_501698203349,1523.98
3029,Product41_961919712214,277.35
1777,Product42_439435119589,8593.4
0118,Product34_681650395706,5647.8
3846,Product20_114232074142,7676.83
2847,Product35_271300728073,9031.32
3796,Product21_602317401174,8776.3
6661,Product50_970966092558,4388.69
5273,Product20_114232074142,8385.5
5079,Product21_602317401174,7165.93
1884,Product35_271300728073,8038.32
4425,Product11_740390785655,8916.94
0430,Product32_610207186318,5662.76
2096,Product17_701139667440,176.78
2794,Product39_577115612575,9640.09
0352,Product2_426762991953,3465.25
9099,Product20_114232074142,1507
7886,Product32_610207186318,4694.06
1554,Product1_672843293577,8022.67
9001,Product15_204925440499,7511.86
4323,Product8_483642823314,3136.66
3437,Product19_625705419767,6248.76
0577,Product11_740390785655,6825.74
9235,Product33_982721679227,9062.23
6934,Product34_681650395706,5894.7
3008,Product16_067024275192,2643.58
9444,Product21_602317401174,4146.12
2891,Product11_740390785655,1980.57
0758,Product40_555260290319,7665.83
3719,Product46_471710588576,4123.31
8125,Product19_625705419767,1882.08
6514,Product9_401673678906,899.84
0143,Product8_483642823314,6871.52
3332,Product29_720630802981,4718.6
5609,Product5_962240023270,2356.02
8669,Product16_067024275192,646.46
8103,Product47_994079427399,4940.12
1795,Product17_701139667440,5140.42
0575,Product23_399308656375,1059.07
9570,Product42_439435119589,8181.46
8649,Product19_625705419767,7407.32
2886,Product39_577115612575,7869.55
3883,Product33_982721679227,6488.27
5712,Product39_577115612575,6434.65
3595,Product15_204925440499,6905.83
4957,Product42_439435119589,3616.83
7750,Product16_067024275192,4301.05
0372,Product5_962240023270,8528.49
4488,Product42_439435119589,8024.96
9430,Product47_994079427399,7326.64
4661,Product46_471710588576,6645.89
6636,Product24_026275464157,1226.82
0499,Product1_672843293577,4243.03
5005,Product44_263947759193,9736.46
9547,Product32_610207186318,6896.73
3293,Product45_278182441624,8849.74
7653,Product47_994079427399,8598.41
8726,Product15_204925440499,3988.26
1621,Product17_701139667440,7953.79
6037,Product50_970966092558,5522.1
1094,Product16_067024275192,4656.53
5477,Product9_401673678906,5383.68
6756,Product22_456694518796,3278.98
6163,Product32_610207186318,873.6
8246,Product21_602317401174,7784.39
6637,Product42_439435119589,3279.98
4869,Product9_401673678906,9412.09
8690,Product45_278182441624,2484.26
7745,Product30_282065256654,3659.85
2496,Product22_456694518796,314.21
0403,Product20_114232074142,3427.41
2769,Product28_432483932364,6126.36
8356,Product35_271300728073,2300.69
9910,Product36_501698203349,6985.73
2674,Product30_282065256654,527.06
5538,Product39_577115612575,5518.56
3020,Product40_555260290319,4438.43
6434,Product4_054973295521,8848.41
7714,Product1_672843293577,341.66
8031,Product44_263947759193,99.11
2836,Product42_439435119589,9384.72
3149,Product11_740390785655,4423.2
0534,Product34_681650395706,8095.98
1061,Product30_282065256654,3298.13
2467,Product44_263947759193,4713.01
3386,Product18_583877270485,3094.44
0977,Product1_672843293577,3576.09
7145,Product20_114232074142,9074.89
2310,Product4_054973295521,4983.33
5344,Product50_970966092558,8475.45
3217,Product45_278182441624,4857.13
3451,Product47_994079427399,9804.87
3005,Product25_712876788696,8174.34
5577,Product34_681650395706,9219.73
3713,Product42_439435119589,5930.56
3017,Product24_026275464157,2887.81
0176,Product14_960811442186,4173.58
5156,Product35_271300728073,7381.87
0827,Product26_969383468339,3958.69
7419,Product39_577115612575,5451.1
5988,Product2_426762991953,6211.03
7891,Product1_672843293577,207.41
4073,Product18_583877270485,8273.25
1098,Product25_712876788696,6183.18
0222,Product18_583877270485,1815.13
5158,Product12_309156910760,662.56
3427,Product35_271300728073,6290.01
2991,Product14_960811442186,3733.94
1035,Product49_625088676444,2920.04
6088,Product35_271300728073,8187.29
2026,Product22_456694518796,2764.07
5895,Product38_787150892300,8228.43
7969,Product39_577115612575,6882.24
2410,Product22_456694518796,7364.32
7188,Product32_610207186318,9009.01
9177,Product18_583877270485,552.92
4680,Product20_114232074142,4219.28
0614,Product26_969383468339,3408.94
9701,Product48_947877706050,4376.32
6490,Product20_114232074142,1472.01
5749,Product42_439435119589,6506.85
3848,Product14_960811442186,8100.37
6673,Product13_504536845436,6019.98
2240,Product27_808662828215,6214.27
9874,Product11_740390785655,6399.38
1215,Product30_282065256654,7707.61
8264,Product33_982721679227,6648.18
2727,Product35_271300728073,8819.69
8916,Product24_026275464157,9658.92
3177,Product50_970966092558,3890.89
2905,Product1_672843293577,5495.03
8317,Product29_720630802981,1152.93
1614,Product41_961919712214,7927.88
4154,Product15_204925440499,3316.28
9524,Product37_280168771200,6077.02
1479,Product11_740390785655,7142.81
1608,Product50_970966092558,4886.76
2720,Product50_970966092558,7508.01
6662,Product46_471710588576,7493.03
8793,Product14_960811442186,5966.47
7256,Product40_555260290319,9795.29
9754,Product29_720630802981,4636.08
9716,Product5_962240023270,5275.9
3858,Product19_625705419767,4961.59
2802,Product32_610207186318,9682.96
1892,Product6_826830262783,7022.32
5182,Product24_026275464157,5568.82
7213,Product44_263947759193,9088.05
0395,Product26_969383468339,9514.53
8971,Product45_278182441624,9486.86
0741,Product46_471710588576,9034.17
2141,Product9_401673678906,2816.15
7609,Product35_271300728073,9276.16
9913,Product27_808662828215,3591.38
2605,Product28_432483932364,4897.02
6158,Product24_026275464157,1667.72
1565,Product47_994079427399,8420.5
1285,Product34_681650395706,5523.28
7704,Product4_054973295521,5271.03
0865,Product43_170569128577,3390.16
7868,Product23_399308656375,4297.18
1275,Product17_701139667440,4015.44
4735,Product29_720630802981,665.06
3144,Product37_280168771200,1642.61
2961,Product41_961919712214,8050.82
9327,Product24_026275464157,8714.13
2489,Product10_152017009337,8715.95
8870,Product17_701139667440,3950.2
4341,Product20_114232074142,5779.11
4481,Product35_271300728073,9155.42
1084,Product7_619980263269,6648
1673,Product13_504536845436,1826.56
3807,Product11_740390785655,2150.43
6320,Product5_962240023270,3228.96
0270,Product43_170569128577,9470.91
7775,Product25_712876788696,4280.18
1926,Product32_610207186318,7818.22
3207,Product12_309156910760,896.72
5047,Product18_583877270485,7598.76
7959,Product2_426762991953,226.77
6201,Product14_960811442186,3989.15
5933,Product16_067024275192,6206.53
5310,Product35_271300728073,9820.39
7075,Product49_625088676444,6498.57
2339,Product11_740390785655,6479.69
7954,Product41_961919712214,4642.72
0857,Product45_278182441624,2536.69
4037,Product16_067024275192,3113.9
6914,Product50_970966092558,4302
7150,Product11_740390785655,8787.09
2144,Product9_401673678906,96.89
7324,Product22_456694518796,361.65
2003,Product20_114232074142,3460.12
0949,Product13_504536845436,9920
5260,Product39_577115612575,7302.26
4429,Product12_309156910760,914.49
8786,Product17_701139667440,1510.53
8357,Product45_278182441624,142.9
3847,Product23_399308656375,8505.62
2358,Product38_787150892300,5581.51
9018,Product19_625705419767,2082.76
4371,Product45_278182441624,1682.96
0628,Product42_439435119589,4845.43
6262,Product45_278182441624,6027.69
2474,Product28_432483932364,4998.4
3757,Product18_583877270485,9745.85
1582,Product20_114232074142,4559.66
9799,Product5_962240023270,8095.54
0117,Product12_309156910760,9098.61
5018,Product23_399308656375,9259.35
4371,Product28_432483932364,3497.97
4503,Product20_114232074142,435.54
9710,Product14_960811442186,1724.66
5914,Product42_439435119589,1475.09
1633,Product8_483642823314,5395.53
7784,Product48_947877706050,7493.93
7512,Product30_282065256654,7044.19
6435,Product5_962240023270,6746.15
8066,Product8_483642823314,3182.31
6563,Product50_970966092558,2369.14
